truncated_text
Valkyria of the Battlefield 3
The initially @-@ planned release
It later released for DVD
The anime is set during
The anime was first announced
It was developed by A
Sakimoto 's music for the
The anime 's title was
A <unk> attached to the
The game 's main theme
"While making the anime ,"
Due to it being along
"The opening theme , """
"The ending theme , """
Both songs ' lyrics were
Two manga adaptations were produced
They were Senjō no Valkyria
Valkyria of the Battlefield 3
Valkyria of the Battlefield 3
= Tower Building of the
The Tower Building of the
"Arsenal Building , is a"
"Built in 1840 , it"
"Since its decommissioning , The"
It was home to the
It has also been the
The building receives its name
Besides being the last remaining
It was also the starting
In 2011 it was named
= = Construction = =
The arsenal was constructed at
Thirty @-@ six acres were
Lee of the U.S.
Army .
The land had been previously
"John <unk> Walker , a"
"Originally $ 14 @,@ 000"
The budget was later increased
Work began on the Tower
Being originally constructed to store
The original plans called for
The Arkansas Gazette referred to
= = Civil War =
For several years the arsenal
"But in November 1860 ,"
"On January 15 , 1861"
It was planned for February
"On January 28 , then"
The first telegraph wire to
Local attorney John M Harrel
"In his message , Harrel"
The United States troops at
The garrison at Fort Smith
The arsenal is one of
"<unk> M Harrel <unk> ,"
The item was intended simply
The rumor was interpreted by
"By February 5 , six"
Governor Rector vehemently denied ordering
Faced with the fact that
"On February 6 , he"
This movement is prompted by
"This movement , although not"
I therefore demand in the
Perhaps because Abraham Lincoln had
He agreed to surrender the
The governor would take possession
The soldiers would be allowed
The soldiers would be allowed
On the morning of February
"That afternoon , the citizen"
All of the federal troops
The Little Rock Arsenal was
Thus there were no substantial
Most of these operations were
Inside the Little Rock Arsenal
Long arms in the Arsenal
M1822 .69 cal ( flintlock
M1822 .69 cal ( percussion
<unk> .69 cal smoothbore (
<unk> <unk> cal rifle @-@
<unk> common rifles 125
"<unk> rifle ( "" Mississippi"
<unk> <unk> 2
Hall 's <unk> 267
Hall 's rifles ( flintlock
"Total 10 @,@ 247"
"Of this number , approximately"
Note there were only 1
<unk> of the weapons found
The 9th and 10th Arkansas
The units comprising the infantry
By the time the 11th
"Most of the equipment ,"
Earl Van Dorn in April
"By all appearances , the"
Major General Thomas C.
"Hindman , sent to command"
Hindman established another armory at
Hindman recorded :
""" Machinery was made for"
Lead mines were opened and
Most of these works were
"The tools , machinery ,"
Nothing of this sort had
"This ammunition , and that"
As illustrating as the <unk>
<unk> were employed or conscripted
"But , after inspecting the"
Two days <unk> before the
""""
The Confederate ordnance establishment at
Looking around for a suitable
Dunnington .
Lt.
Dunnington was the commander of
Dunnington was selected to head
Lt.
Col.
"Dunnington 's "" <unk> for"
"149 , Chapter IV of"
"According to Dunnington , """
There were no persons employed
No shops were open for
"Material , tools , etc"
", had to be procured"
Work commenced the last part
""""
The military force at Little
"<unk> , Captain <unk> Green"
<unk> Murphy .
"In addition to these ,"
During the month of August
""""
Lt.
Col.
Dunnington continued to build up
Faulkner ( composer of The
Dunnington presumably returned to his
"A "" Summary of the"
"75 @,@ 000 buck &"
"14 @,@ 000 buck &"
275 paper <unk>
"117 rounds , 6 @-@"
"130 rounds , 6 @-@"
96 ammunition packing boxes
<unk> :
"2 @,@ 236 shotguns and"
23 pistols ( repaired mostly
<unk> & <unk> :
<unk> packages of ordnance and
<unk> and painted :
4 gun carriages
Performed :
"Guard , office , and"
Perhaps the most <unk> points
""" buck & ball """
"The "" <unk> of Work"
"<unk> to the "" Summary"
""" This then marks the"
"In 1864 , after Little"
The arsenal was briefly seized
= = <unk> = =
"In 1873 , the building"
The building was drastically altered
"Prior to renovation , a"
"By 1868 , front and"
"In 1880 , Douglas MacArthur"
"In the 1880s , the"
The arsenal commander received word
""" On April 12 ,"
That site later became Fort
Roots .
All of the original buildings
= = Æsthetic Club =
In 1894 the Little Rock
This was prompted due to
"The previous year , club"
At the fair 's conclusion
""""
Except for Æsthetic Club meetings
The Æsthetic Club provided much
The Æsthetic Club is still
= = Public use =
The building and the surrounding
The Tower Building served as
"Over 106 @,@ 000 Civil"
Later the building served as
"In 1912 , the second"
"In 1917 , Little Rock"
A band shell named for
H.
Foster also was built in
"In 1936 , Works Progress"
The arsenal was listed in
Due to its association with
"In 1942 , the Tower"
"<unk> , and the Works"
It became the new home
The museum remained in the
The area surrounding the Tower
Due to the efforts of
"In 1997 , the Museum"
The new museum was relocated
The MacArthur Museum of Arkansas
The new museum 's goal
= <unk> Mary Barker =
<unk> Mary Barker ( 28
Barker 's art education began
Her earliest professional work included
Similar books were published in
Barker was a devout Anglican
She produced a few Christian
She designed a stained glass
"Edmund 's Church , Pitlake"
Barker was equally proficient in
Kate Greenaway and the Pre
She claimed to paint instinctively
Barker died in 1973 .
Though she published Flower Fairy
= = Biography = =
= = = Early life
Barker was born the second
Barker was an <unk> as
"Later , her sister and"
The family of four was
"A <unk> , a governess"
She spent much time in
= = = Art education
Barker took correspondence courses in
In 1908 at 13 years
"In time , she received"
"In 1911 , Raphael Tuck"
"In October 1911 , she"
The art critic for the
She has distinct promise .
""""
Following her father ’ s
Her sister Dorothy taught kindergarten
She brought in some money
= = = Flower Fairies
Fairies became a popular theme
Queen Mary made such themes
"In 1918 , Barker produced"
"In 1923 , Barker sent"
Blackie paid £ 25 for
"Mary <unk> Clayton Calthrop ,"
""""
= = = The Waldrons
"In 1924 , the family"
Barker had a studio built
The family lived <unk> and
Edmund 's and St.
Andrew 's in Croydon –
Barker sometimes incorporated portraits of
She was described by Canon
Andrew 's .
The children in the kindergarten
In an interview in 1958
For many years I had
""" She also painted the"
The plants were painted from
Barker designed and built the
The costumes were kept in
Each was broken down after
She often referred to Dion
= = = Middle years
"In the late 1920s ,"
Family and friends recommended she
Barker continued to attend evening
She took <unk> trips to
She visited and stayed with
"In 1940 , the Barker"
She continued to supervise the
Dorothy and her sister collaborated
In 1954 Dorothy Barker died
Barker was unable to pursue
"Edmund 's , Pitlake ."
= = = Later life
Barker 's mother died in
She restored a <unk> in
Andrew 's .
"After taking up residence ,"
She was in and out
Barker died at Worthing Hospital
Two funeral services were held
Her ashes were scattered in
"In 1989 , Frederick Warne"
= = Art = =
Barker worked principally in <unk>
She carried a <unk> with
"She once indicated , """
""""
Kate Greenaway was a childhood
Barker 's child subjects wear
Barker studied flowers with an
"Along with Greenaway , illustrator"
Woodward also influenced Barker 's
The Pre @-@ <unk> were
"She once indicated , """
""" She admitted a fondness"
= = = Depictions of
"Barker 's sketches , drawings"
"She illustrated magazine covers ,"
Her own Old Rhymes for
"Set about 1800 , Groundsel"
The story features an old
<unk> and <unk> suggests a
"Simon the Swan , intended"
It was published posthumously in
= = = Christian @-@
Barker was a devout Christian
She published eight postcards and
Christmas cards were designed for
An original design for the
The Croydon Art Society hung
Religious @-@ themed books include
Major religious works include the
"George 's Chapel , Waddon"
The Feeding has since disappeared
"In 1941 , she completed"
"Andrew 's , South Croydon"
She designed baptismal rolls for
"In 1946 , she completed"
Following the death of her
Her last religious @-@ themed
"Edmund 's , Pitlake ,"
= = Works = =
= = = Cards =
<unk> Children of the Allies
"Salmon , 1916"
National Mission ; Society for
Shakespeare 's Boy Characters ;
W.
"Faulkner , 1917"
Shakespeare 's Girl Characters ;
W.
"Faulkner , 1920"
Seaside Holiday ; J.
"Salmon , 1918 , 1921"
<unk> and Fairies ; S.
"Harvey , 1918"
Guardian Angel ; Society for
Christmas cards ; Girls '
Christmas cards ( US )
Beautiful Bible Pictures ; Blackie
= = = Books =
Flower Fairies of the Spring
Spring Songs with Music ;
Flower Fairies of the Summer
Child <unk> in Picture and
K.
"<unk> ) ; Blackie ,"
Flower Fairies of the Autumn
Summer Songs with Music ;
The Book of the Flower
Autumn Songs with Music ;
Old Rhymes for All Times
The Children ’ s Book
1933
Our Darling ’ s First
The Little Picture Hymn Book
Rhymes New and Old ;
A Flower Fairy Alphabet ;
A Little Book of Old
He Leadeth Me ( written
A Little Book of Rhymes
The Lord of the Rushie
Flower Fairies of the Trees
When Spring <unk> In at
A Child ’ s Garden
Flower Fairies of the Garden
Groundsel and Necklaces ; Blackie
Flower Fairies of the <unk>
Flower Fairies of the Flowers
"Lively Stories ; Macmillan ,"
The Flower Fairy Picture Book
"Lively Numbers ; Macmillan ,"
"Lively Words ; Macmillan ,"
"The Sand , the Sea"
= = = = <unk>
Flower Fairies of the Winter
Simon the Swan ; Blackie
Flower Fairies of the Seasons
A Little Book of <unk>
A Flower Fairies Treasury ;
"<unk> ; Frederick Warne ,"
Wild Cherry Makes A Wish
How to find Flower Fairies
Return to <unk> ; Frederick
= = = Book covers
A New Epiphany ; Society
"43 <unk> ; Blackie ,"
= = = Religious works
St.
Cecily 's Garden ; 1920
<unk> roll design ; St.
"Edmund 's , Pitlake ,"
Banner design ; St.
"Mary 's , <unk> ,"
The Feeding of the Five
The Parable of the Great
"George 's chapel , Waddon"
The Seven <unk> ; baptismal
"Andrew 's , Croydon"
St.
John the Baptist ; central
"<unk> , sword , and"
"Andrews , Croydon , 1943"
<unk> rolls ; St.
"Andrews , Croydon , 1948"
The font in St Andrew
Out of Great <unk> ;
I Am Among You As
"Edmund 's , Pitlake ,"
= Gambia women 's national
The Gambia women 's national
"The team , however ,"
The Gambia has two youth
The development of a national
= = The team =
"In 1985 , few countries"
While the sport gained popularity
That game was not FIFA
"As of March 2012 ,"
The team has not participated
The country did not have
The Gambia had fielded an
Two girls from the SOS
The Gambia first played Sierra
Gambia won the first match
The return match was delayed
The Gambia beat Sierra Leone
The Gambia then beat Tunisia
<unk> Tamba and <unk> <unk>
Tunisia 's only goal was
The win qualified Gambia for
The Gambia also has an
The Gambia 's first match
= = Background and development
The development of women 's
Funding is another issue impacting
Another challenge is the retention
Many women footballers leave the
Gambia 's national football association
Football is the most popular
A national competition was launched
Competition was active on both
There are four staffers dedicated
= Plain maskray =
The plain maskray or brown
It is found in shallow
Reaching 24 cm ( 9
"Its short , whip @-@"
There are short rows of
While this species possesses the
"<unk> in nature , the"
"It is viviparous , with"
This species lacks economic value
As it also has a
= = Taxonomy and phylogeny
The first scientific description of
The specific name <unk> comes
The holotype is a male
Last tentatively placed the species
"In 2008 , Last and"
In a 2012 phylogenetic analysis
<unk> ) were found to
The divergence of the N.
annotata lineage was estimated to
"Furthermore , the individuals sequenced"
annotata is a cryptic species
The two <unk> species were
= = Description = =
The pectoral fin disc of
The leading margins of the
The small eyes are placed
The nostrils are elongated and
The small mouth bears prominent
Small papillae are also found
There are five pairs of
The pelvic fins are fairly
"The tail is short ,"
"After the stings , the"
Most of the body lacks
The dorsal coloration is grayish
The tail behind the stings
The underside is plain white
This species grows to 24
= = Distribution and habitat
The plain maskray inhabits the
There are <unk> reports that
It is the least common
This species is a bottom
It has been recorded from
= = Biology and ecology
The plain maskray generally hunts
Its diet consists predominantly of
Small bony fishes are also
Larger rays consume a greater
This species is <unk> by
"Like other stingrays , the"
<unk> females have a single
Litter size is one or
Males and females reach sexual
The maximum lifespan is estimated
= = Human interactions =
The main conservation threat to
"In the present day ,"
Although this species is discarded
"Historically , this species may"
"These factors , coupled with"
= 2011 – 12 Columbus
The 2011 – 12 Columbus
The Blue Jackets ' record
It also marked the third
"Consequently , they had the"
The Blue Jackets began the
After an 11 – 25
The poor season prompted several
With the prospect of another
The team was involved in
During the season Columbus managed
One of which came towards
= = Off @-@ season
In the off @-@ season
The first deal General Manager
The deal sent <unk> <unk>
The trade received a positive
"Next , they traded for"
Wisniewski scored a career high
The point total was fifth
The Blue Jackets came to
Columbus also traded former first
<unk> had failed to live
Prior to the start of
The Blue Jackets signed Mark
Columbus did sign a veteran
Sanford had not played in
"During training camp , <unk>"
"Additionally , Sanford suffered a"
York had only played four
= = Regular season =
= = = October –
After the first five games
"While Carter was injured ,"
In the eighth game of
Columbus held a 3 –
Jason <unk> tied the game
The loss helped set a
[ note 1 ] The
"During the game , several"
James Wisniewski made his Columbus
Columbus was unable to create
"With the team struggling ,"
The first move was the
"Next , they traded defenseman"
Louis Blues for Nikita <unk>
As the clubs slow start
Hitchcock had previously coached the
Before any of these rumors
Louis Blues asked Columbus for
Hitchcock began his Blues coaching
During the same time frame
He made his first start
Sanford continued his strong play
Sanford started 12 consecutive games
The number of starts might
Mason returned from his concussion
Mason allowed only one goal
Columbus won the game 2
"After the game , Arniel"
"However , Mason started four"
= = = January –
"With the losing continuing ,"
"Unlike before , the rumors"
The majority of rumors were
While Howson stated that he
Nash stated that if Columbus
Howson publicly stated that he
More rumors came to light
"Howson , Carter and his"
With the trade deadline approaching
Reports were that Columbus was
""""
At the halfway point of
He was replaced by Assistant
Richards had previously coached the
He recorded his first coaching
The change in coaching did
"At the break , Blue"
<unk> sent out a letter
He added that action would
When speaking of the season
He also thanked them for
""" Days later , a"
Fans were upset with the
The same day the fans
Columbus was without a representative
"In the competition , Johansen"
He received just 1 %
"Following the break , the"
Upon review of the goal
Kings ' General Manager Dean
Howson stated on the team
""" NHL Senior Vice President"
To determine the true cause
Two weeks prior to the
Howson stated that the team
<unk> was that in return
""" Leading up to the"
Despite being injured at the
"The following day , on"
"In the deal , Columbus"
"At the deadline , Columbus"
"Following the trade deadline ,"
Nash stated that he had
He further noted that he
""" After the personnel changes"
= = = March –
Columbus started March with a
They proceeded to win their
Columbus again defeated the Coyotes
They extended the streak to
Louis Blues .
It was the only four
They immediately matched their four
"Shortly after being eliminated ,"
It was the first time
"Three days later , on"
"With Sanford again injured ,"
Playing against the Detroit Red
York remained the starter and
"In his fourth start ,"
The 54 saves by Phoenix
Mason returned to the starter
The two victories gave Columbus
The Blue Jackets struggled in
= = Post @-@ season
<unk> with the worst record
With the NHL 's weighted
"However , the lottery was"
It was the fifth time
"A month later , on"
"During the press conference ,"
""" Columbus posted an 18"
= = <unk> = =
Since being founded as an
"Division rivals Chicago <unk> ,"
"Louis Blues , all made"
Divisions : CE – Central
bold - qualified for playoffs
= = Schedule and results
= = = Pre @-@
= = = Regular season
Green background indicates win (
Red background indicates regulation loss
Silver background indicates overtime /
= = Player statistics =
"In ice hockey , a"
<unk> minutes are the total
Below is a listing of
= = = <unk> =
Note : <unk>
= <unk> ; <unk> =
Games played in ; G
= Goals ; A =
<unk> ; Pts
= Points ; <unk> =
<unk> minutes ; + /
= = = <unk> =
Note : <unk>
= Games Played ; <unk>
Time On Ice ( minutes
= Wins ; L =
Losses ; <unk>
= <unk> Losses ; GA
Goals Against ; GAA =
= <unk> ; Sv %
Save <unk> ; <unk> =
† <unk> player spent time
<unk> reflect time with the
<unk> <unk> mid @-@ season
= = <unk> = =
When Mason was injured in
"To remedy the situation ,"
After being eliminated from the
He served as the back
With Mason returning from injury
In the final game of
He did not face a
Hunwick was the franchise record
"Conversely , <unk> <unk> played"
= = Transactions = =
During the off @-@ season
"<unk> , who played four"
Columbus had offered him a
He instead signed a four
<unk> and <unk> were not
Commodore had originally signed a
"He was waived , sent"
In order to replace the
<unk> played only seven games
Brett <unk> was brought in
= Gregorian Tower =
The Gregorian Tower ( Italian
The tower was built between
It was then also known
The tower is now called
Four stages of progressive development
The tower was an edifice
= = Early history =
The first stage of building
The directive was to build
The design was effected after
<unk> .
"Christoph <unk> , a Jesuit"
The 73 metres ( 240
The instrumentation for the observation
It was in the form
The tower still remains today
= = Second stage =
The second stage of construction
"Filippo Luigi Gilii , a"
Peter 's Basilica .
"Earlier in 1797 , Pius"
The original observatory was then
"Its instrumentation , apart from"
The instrumentation facilitated recording of
"As an addition , under"
<unk> .
"Gilii , highly respected as"
He carried out continuous meteorological
While the observation records for
Subsequent to Gilii 's death
"Established in 1787 , it"
= = Third stage =
The revival of the observatory
High quality instruments were procured
A four @-@ inch equatorial
"In 1888 , the gift"
Father <unk> joined the observatory
"The same year , a"
Peter 's Basilica on the
It was built to a
<unk> Father Rodriguez was the
"In 1891 , Pope Leo"
= = Fourth stage =
The fourth stage involved <unk>
His plans were to make
At the west end of
The east end of the
A new 16 @-@ inch
As a result of these
The new Astronomical Library was
The two new <unk> machines
The recorded observations were published
Charts were printed on silver
= = Features = =
The tower had two floors
On the first floor was
Pope Urban VIII had it
Today the tower has paintings
"The <unk> Room , also"
The room was further modified
These were created by <unk>
The sundial consisted of a
The observations made with the
"The <unk> , in contrast"
The instrument may have led
The interior walls and ceiling
= There 's Got to
""" There 's Got to"
Columbia released it as the
It was one of four
It is a socio @-@
The track garnered a mixed
While Carey 's vocals were
An accompanying music video highlights
The song reached number 54
= = Background and release
""" There 's Got to"
It was written during Carey
"They composed four songs ,"
Co @-@ produced by Wake
The track was recorded and
He was assisted by Dana
It was mixed by David
"The keyboards , bass and"
Walter Afanasieff played the synth
Carey provided her own background
"Scott , <unk> Muhammed and"
Scott Ensemble .
The song was released as
It is available to purchase
= = Composition = =
""" There 's Got to"
The theme of social activism
""" The song begins with"
Carey suggests we should be
""""
= = Critical reception =
Music critic Robert Christgau felt
"Ralph Novak , David <unk>"
""" They continued to write"
To mark twenty @-@ five
"He noted that "" There"
Although he praised Carey 's
""""
= = Music video =
The accompanying music video begins
Two men play <unk> on
<unk> of Carey leaning against
As the first chorus begins
A gospel choir comes out
One of the shops in
= = Track listings =
""" There 's Got to"
""" There 's Got to"
""" There 's Got to"
""" There 's Got to"
= = Charts = =
= Nebraska Highway 88 =
Nebraska Highway 88 ( N
It has a western terminus
The road travels eastward to
N @-@ 88 continues east
"The road turns north ,"
Highway 385 ( US 385
The route was designated in
It was extended to the
= = Route description =
N @-@ 88 starts at
The road quickly <unk> east
For the next twenty miles
The route turns south at
Four miles ( 6 @.@
The route continues to travel
The road crosses over <unk>
"Two rock formations , Courthouse"
N @-@ 88 turns north
The road crosses over <unk>
The road intersects a railroad
N @-@ 88 turns northeast
"In 2012 , Nebraska Department"
This is expressed in terms
Only the N @-@ 71
= = History = =
N @-@ 88 was unofficially
The route remained relatively the
"Before 1955 , Nebraska did"
"By 1960 , N @-@"
The old alignment became part
"Two years later , N"
"Between 1981 @-@ 82 ,"
That road became part of
No significant changes have been
= = Major intersections =
= USS Atlanta ( 1861
Atlanta was a casemate ironclad
She was converted from a
After several failed attempts to
"Atlanta was floated off ,"
She spent most of her
The ship was decommissioned in
Several years after the end
= = Description and career
Fingal was designed and built
She was described by <unk>
She had a draft of
He estimated her tonnage at
Fingal was equipped with two
The engines drove the ship
They had a bore of
The ship briefly operated between
"Bulloch , the primary foreign"
To disguise his control of
The cargo was loaded in
On the night 14 /
Bulloch and the passengers embarked
The ship reached Bermuda on
"However , all of the"
Fingal was able slip safely
While Fingal was <unk> her
Mallory endorsed Bulloch 's plan
He returned to Savannah on
He made one attempt to
Bulloch reported to Mallory in
= = As Atlanta =
The brothers <unk> and Nelson
This was largely financed by
Fingal was cut down to
"After the conversion , Atlanta"
Her depth of hold was
"Atlanta now displaced 1 @,@"
The armor of the casemate
The outer layer ran vertically
Her armor was backed by
The bottom of the casemate
The pyramidal <unk> was armored
The upper portion of Atlanta
The rectangular casemate was pierced
Each gun port was protected
Atlanta was armed with single
The middle gun port on
"The 17 @-@ caliber ,"
The equivalent statistics for the
Atlanta was also armed with
In front of the ram
"On 31 July 1862 ,"
"<unk> , Atlanta conducted her"
The ship proved to be
This latter was a real
"She also leaked significantly ,"
"One report said that """
""" Scales commented in his"
!
""""
Attempts were made to fix
The ship was commissioned on
Under pressure from Mallory to
It took another month to
Nonetheless Tattnall attempted to pass
After Atlanta successfully passed through
<unk> revealed <unk> 's plan
<unk> with Tattnall 's perceived
<unk> .
"<unk> , in his turn"
Webb ; Atlanta remained the
Webb demonstrated his aggressiveness when
She was not damaged although
He planned to make another
"In the meantime , Rear"
"Du <unk> , commander of"
Commander John <unk> in Weehawken
In the early evening of
He moved forward the next
Webb planned to sink one
The gunboat <unk> and the
A lookout aboard Weehawken spotted
When the latter ship closed
"Shortly afterward , Atlanta ran"
This time Webb was unable
"When Weehawken , the leading"
The 11 @-@ inch (
The next shot from the
The next shell from the
The final shell was also
"By this time , Atlanta"
Weehawken and Nahant were able
Webb surrendered his ship within
Of the ironclad 's 21
= = In the Union
Atlanta was easily pulled free
"Not badly damaged , she"
The prize money of $
The ship retained her name
The 150 @-@ pound Parrott
The 100 @-@ pounder weighed
It fired a 100 @-@
All four of her Brooke
Atlanta was assigned to the
"On 21 May 1864 ,"
After the end of the
She was sold to Sam
The ship was briefly seized
Atlanta was released and sailed
She broke down in Delaware
"The ship , now renamed"
= Jacqueline Fernandez =
Jacqueline Fernandez ( born 11
As Miss Universe Sri Lanka
She graduated with a degree
While on a modelling assignment
Fernandez ' breakthrough role was
This was followed by glamorous
Her performance in the first
"In 2014 , Fernandez played"
One of the most popular
Alongside her screen acting career
= = Early life and
Fernandez was born on 11
"Her father , <unk> ,"
"Her grandfather , on her"
"Her father , who was"
She is the youngest of
She hosted television shows in
After receiving her early education
After graduating she worked as
She also attended the <unk>
"According to Fernandez , she"
She received some training at
"Although , she was a"
"In 2006 , she was"
"In a 2015 interview ,"
"In 2006 , she appeared"
= = Acting career =
= = = 2009 –
"In 2009 , Fernandez traveled"
She studied acting under the
She played the love interest
Fernandez garnered mixed reviews for
Anupama Chopra of NDTV called
Although the film was a
"In 2010 , Fernandez appeared"
She was cast as a
"The film , along with"
Her Tara could be a
""" Critic Anupama Chopra also"
"Later that year , she"
Mahesh <unk> 's thriller Murder
She took on the role
Fernandez was praised for the
Gaurav Malini of The Times
"The following year , Fernandez"
It became one of the
Fernandez received mostly negative reviews
While Gaurav Malini praised her
"Despite the negative reviews ,"
Fernandez 's first release of
"She played <unk> , a"
The film emerged as a
In a particularly scathing review
""" Fernandez also appeared in"
= = = 2014 –
"In 2014 , Fernandez appeared"
She starred opposite Salman Khan
She retained her real voice
While <unk> May Francis commented
""" The film received mixed"
The film established Fernandez as
"In 2015 , Fernandez featured"
"<unk> described as a """
"Fernandez played dual roles ,"
While India TV called it
""" Roy failed to meet"
"Later that year , she"
Karan <unk> 's action drama
Co @-@ starring alongside <unk>
The role marked a departure
Film critics praised her performance
<unk> Sharma of <unk> News
Film critic Subhash K.
Jha noted that she :
in a limited role gives
""""
"As of September 2015 ,"
She has completed shooting for
Fernandez has also signed on
= = Personal life and
Fernandez shares a close bond
"She says : "" I"
You don 't realise when
] At the same time
It has taught me so
""" In March 2012 ,"
"In 2008 , Fernandez started"
While filming Housefull 2 in
The relationship attracted media coverage
"However , the relationship ended"
In addition to acting in
"In 2011 , on the"
"In early 2013 , she"
"Later that year , she"
"In 2014 , Fernandez was"
"The following year , she"
Some of her outfits included
"In March 2016 , she"
Fernandez has participated in several
"In 2013 , she performed"
She also performed at the
"In July 2014 , Fernandez"
= = In the media
"In the early 2013 ,"
She was the face of
"Later that year , she"
"That year , she also"
While <unk> Fernandez 's career
] Jacqueline is comfortably grasping
""" On the contrary ,"
"In 2008 and 2011 ,"
She was ranked third on
"In 2013 , Rediff.com placed"
"The following year , she"
She has been the cover
= = Filmography = =
= = TV Appearances =
= = Awards = =
= John Cullen =
Barry John Cullen ( born
He was a standout player
After the Buffalo Sabres selected
His career was halted in
He attempted a brief comeback
Cullen played in two NHL
He joined his brother in
= = Early life =
Cullen was born in <unk>
He is one of six
His father and <unk> Brian
He idolized his elder brother
While his brother was highly
"At the same time ,"
Following her death early in
He used the game to
Cullen felt that the inspiration
= = Playing career =
Cullen was a standout with
The National Hockey League passed
He was named to the
He graduated as BU 's
<unk> over in the Entry
When the Sabres failed to
He led the league with
<unk> Memorial Trophy with Ed
Cullen 's outstanding season in
He signed a contract with
= = = National Hockey
Cullen made his NHL debut
He was given a greater
"Additionally , he played for"
Cullen had his best season
As one of the team
"However , when Lemieux returned"
The Penguins ' needs led
Cullen was sent to the
The Penguins almost turned down
After the Penguins won their
"In Hartford , Cullen worked"
The Hartford fans initially <unk>
He scored 16 points in
He initially accepted an invitation
Still without a contract when
He returned to score 77
Midway through the 1992 –
Cullen was excited to play
His most significant injury was
A bulky neck <unk> allowed
When the Leafs chose not
Cullen enjoyed immediate success with
They were eliminated by the
The Lightning looked to improve
As Tampa was fighting for
= = = Cancer and
After two months of quietly
The team took an x
He underwent a CAT scan
The diagnosis ended his season
The tumor was gone by
He missed the entire 1997
On one day during his
He underwent a bone marrow
Another examination in April 1998
The Lightning signed Cullen to
He played his first game
Cullen scored the game @-@
He was named to the
Cullen appeared in four of
The Lightning assigned him to
He chose to accept the
He appeared in six games
"However , a bout of"
"Tests came back negative ,"
Cullen announced his retirement on
In recognition of his comeback
Former Lightning head coach Terry
beat cancer and came back
”
= = Off the ice
Cullen and his wife <unk>
Unwilling to spend so much
He had always expected to
After <unk> under his brother
"However , he owned the"
He has since returned to
Cullen 's battle with cancer
The NHL itself joined the
Cullen has spent time promoting
Prior to marrying his wife
"Kennedy , Jr ."
The two met while attending
= = Career statistics =
= = = Regular season
= = = International =
= = Awards = =
Cullen is the namesake of
= SMS Erzherzog Ferdinand Max
For the ironclad present at
SMS Erzherzog Ferdinand Max (
The second ship of the
She was assigned to the
For most of World War
"In 1914 , she formed"
Her sole combat engagement occurred
She also took part in
She also attempted to break
"After the war , Erzherzog"
= = Design = =
Erzherzog Ferdinand Max displaced 10
She was 414 feet 2
She was manned by 700
She and her sisters were
She was propelled by two
"On trials , they developed"
Erzherzog Ferdinand Max carried a
These guns were an Austro
Her secondary armament consisted of
The gun weighed 12 @.@
Anti @-@ aircraft and airship
